gene_name,Ctrl-1 TPM,Ctrl-2 TPM,Ctrl-3 TPM,SAE-1 TPM,SAE-2 TPM,SAE-3 TPM,Ctrl-1 Normalised Read Counts,Ctrl-2 Normalised Read Counts,Ctrl-3 Normalised Read Counts,SAE-1 Normalised Read Counts,SAE-2 Normalised Read Counts,SAE-3 Normalised Read Counts,Real Fold Change,Regulation Type,"FDR
"
SYT2,0.02,0.03,0,0,0,0,2.026582841,3.743589354,0,0,0,0,193.3390732,Down,1
ARL8A,40.58,38.93,43.5,48.93,41.41,44.35,799.4869308,829.2050418,805.5759227,966.4297451,907.4101753,1007.391076,1.183610684,Up,0.999950183
OSR1,5.85,5.03,4.52,3.72,4.43,3.03,158.0734616,142.2563954,129.4852097,112.396977,133.3507491,91.48200039,1.274522372,Down,0.219166178
GDF7,0.21,0.2,0.18,0.05,0.08,0.09,30.39874262,29.01281749,25.69935459,7.370293575,12.50163272,13.0688572,2.582313966,Down,0.999999534
PDIA6,349.45,352.09,361.81,345.37,343.94,358.6,11085.40814,11213.92191,11393.71001,11595.31437,11654.64711,12112.65248,1.049552442,Up,0.110974776
RHOB,53.64,49.75,54.39,61.87,61.82,66.31,1728.675163,1609.743422,1739.648618,2109.746536,2129.444774,2275.070224,1.282821355,Up,0
ATP6V1C2,0.09,0.15,0.33,0.22,0.11,0.1,4.053165682,6.551281369,5.93062029,10.13415367,5.209013635,4.356285733,1.191027638,Up,1
HNRNPLL,31.42,34.36,33.42,34.79,30.86,31.42,1078.142071,1062.243479,1081.349766,1042.896541,1009.506843,983.4315042,1.061234751,Down,1
GALM,11.66,14.74,12.11,6.27,7.5,6.2,395.183654,392.1409848,382.5250087,211.8959403,251.0744572,221.081501,1.710145598,Down,0
CAMKMT,9.44,10.4,8.92,8.39,11.25,7.97,126.6614276,175.9486996,151.2308174,155.6974518,170.8556472,120.8869291,1.014304682,Down,0.909452534
EML4,39.37,39.75,37.62,30.98,32.19,30.93,2945.63816,2958.371487,2837.801809,2498.529522,2541.998654,2489.617296,1.160908067,Down,7.91999E-08
CALM2,987.42,978.12,1044.09,1113.47,1160.34,1122.42,15951.19301,15961.69167,16626.46433,19053.858,19969.07673,19380.89741,1.203226397,Up,0
CHAC2,2.92,2.18,1.79,2.34,3.13,2.56,48.63798819,36.4999962,29.65310145,41.45790136,56.25734726,45.7410002,1.249650687,Up,0.726460503
RPS27A,692.46,620.14,686.4,666.73,681.27,628.32,5603.217834,5066.396011,5455.538067,5858.756917,6111.496084,5610.623756,1.090276491,Up,0.766400642
