gene_name,Ctrl-1 TPM,Ctrl-2 TPM,Ctrl-3 TPM,SP-1 TPM,SP-2 TPM,SP-3 TPM,Ctrl-1 Normalised Read Counts,Ctrl-2 Normalised Read Counts,Ctrl-3 Normalised Read Counts,SP-1 Normalised Read Counts,SP-2 Normalised Read Counts,SP-3 Normalised Read Counts,Real Fold Change,Regulation Type,"FDR
"
RP11-274H2.3,1.21,1.47,2.1,3.24,0.47,1.61,9.207523752,11.38094462,16.00557969,24.90358939,3.517753502,12.5100345,1.118428452,Up,0.963933966
MTND6P6,0.84,0,0,0,0,0,1.023058195,0,0,0,0,0,35.10193982,Down,1
RP11-587D21.1,1.3,0.71,1.84,6.38,2.47,0,3.529550772,1.963212946,5.021750628,17.04858223,6.683731653,0,2.253523786,Up,0.928999483
AMY2B,6.6,7.31,6.59,10.88,8.9,8.08,152.0162171,178.4437275,165.127565,252.8233148,163.8217806,189.9773839,1.224033589,Up,0.965215529
RP11-451G4.2,0,0,0,0.2,0.12,0.08,0,0,0,2.075299116,1.172584501,0.8340023,137.0628639,Up,1
DDX50P2,0,0.06,0,0,0,0.03,0,1.896824103,0,0,0,0.8340023,2.230114553,Down,0.939620233
RP1-93H18.1,0,0.2,0.21,0.66,0.25,0.51,0,0.948412051,1.000348731,3.112948673,1.172584501,2.5020069,3.445358396,Up,1
LY6G5B,2.61,3.24,2.04,3.46,1.73,1.98,78.67317517,84.38970433,62.40175382,91.0329957,51.31229775,63.65939555,1.094449844,Down,0.98036239
RP11-572M11.4,0.55,0.65,1.12,0.56,0.63,0.14,3.069174584,2.845236154,6.002092384,3.112948673,3.517753502,0.8340023,1.593992553,Down,1
RP11-225N10.1,0,0.04,0,0,0,0,0,0.948412051,0,0,0,0,32.61373505,Down,1
PSMB9,7.45,10.35,12.21,15.13,16.51,13.69,67.52184085,92.94438104,108.0376629,143.195639,147.7456471,125.100345,1.549419476,Up,0.008026654
GPAA1P1,0,0,0,0.4,0,0.24,0,0,0,4.389257629,0,2.610427199,234.3228276,Up,1
RP11-657O9.1,0.19,0,0,0,0,0,1.023058195,0,0,0,0,0,35.10193982,Down,1
RPSAP12,2.15,1.31,1.95,1.13,0.62,1.15,22.16967108,13.6855859,20.04698856,11.79807547,6.320230458,12.06801328,1.851060851,Down,1
BMS1P3,0,0,0.53,0,0,0,0,0,5.8320331,0,0,0,195.4011033,Down,1
FABP5P11,0.92,0.32,0,0,0,0,2.762257126,0.976864413,0,0,0,0,125.6373846,Down,1
RPL23AP75,0,0.25,0,0,0,0,0,0.948412051,0,0,0,0,32.61373505,Down,1
ETF1P2,0.05,0,0,0.05,0,0.04,1.023058195,0,0,1.037649558,0,0.8340023,1.805837386,Up,1
PSMD12P,0,0,0.06,0.06,0.07,0,0,0,1.000348731,1.037649558,1.172584501,0,2.17424838,Up,1
ERICH6-AS1,1.62,3.13,0.32,2.45,2.06,0.26,10.23058195,10.43253257,2.000697461,11.41414514,12.89842951,1.6680046,1.146152937,Up,0.953264089
RPL12P28,0.86,0.85,0.1,0.87,0,0.33,3.734162411,3.765195844,0.460160416,3.787420886,0,1.484524094,1.506903354,Down,0.981275956
PCDHGC3,166.62,161.34,160.88,171.18,190.12,166.91,8954.132698,8765.935488,8614.813203,9529.742409,10008.75917,9264.039166,1.093702968,Up,0.248351319
SMKR1,2.71,4.34,3.45,1.8,4.16,2.33,31.71480403,38.88489411,33.01150811,22.82829027,26.96944351,29.19008049,1.311618237,Down,1
RP11-379F4.4,0,0.23,0,0.28,0,0,0,2.845236154,0,2.075299116,0,0,1.365713847,Down,0.885953432
RP11-758P17.3,0,0,0,0.62,0,0.44,0,0,0,1.037649558,0,0.8340023,63.38839525,Up,1
CPHL1P,0.02,0.02,0.21,0.02,0,0,1.023058195,0.948412051,1.000348731,1.037649558,0,0,2.811614499,Down,1
